name,has_main_facilities,has_security_features,has_parking_safety,has_building_facilities,has_other_features,HighFloor,MidFloor,has_modern,has_facilities,has_green_view,has_water_feature,Bedroom_1,Bedroom_2,Bedroom_3,Bedroom_above 3,Bathroom_1,Bathroom_2,Bathroom_above 2,city_Mansoura,city_New Administrative Capital,city_New Cairo,city_North Coast,city_Old Cairo,propertyCategory_Commercial,propertySubType_Attached Houses,propertySubType_Office,propertySubType_Others(very rare),propertySubType_Retail,log(sqm),log(price),log(price/sqm),Is log(price/sqm) outlier,Is log(sqm) outlier,Is log(price) outlier
Jade Park,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5.940171252720432,16.529145137360384,10.588973883579229,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.502114986264709,15.846811724316176,10.344696737937747,False,False,False
Maspero Business Tower Nile Heights,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5.170483995038151,16.248685220661923,11.078201225904596,False,False,False
Beachfront Tower - B1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.986452005284438,17.784065114128076,11.797613109093128,False,False,True
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.308267697401205,15.994910550387942,10.686642852240215,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.54907608489522,16.424844786127327,10.875768700628722,False,False,False
Latin City,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.198497031265826,16.122884167690117,10.924387137240377,False,False,False
Latin City,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.442417710521793,15.884143900927508,10.441726191580846,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.734343109755804,11.203250126644727,False,False,False
New Garden City,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.454347296253507,15.160461955549785,10.70611465981738,False,False,False
AlMaqsad Park,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.062595033026967,15.356455473953076,10.293860440540586,False,False,False
PODIA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.07753744390572,16.795672236527306,12.71813479258604,True,True,False
Jade Park,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.204006687076795,15.774618940184224,10.57061225381235,False,False,False
New Garden City,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.62040086571715,16.23472246289004,10.614321596781323,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,14.856846778812654,10.32575379777612,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.453995450727716,16.298498701929645,10.84450325159919,False,False,False
Mazarine Apartment,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.529429087511423,16.319320738171506,10.789891651118012,False,False,False
Downtown Extension,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.153291594497779,15.93992546528684,10.786633870860763,False,False,False
Mazarine Apartment,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.442417710521793,16.403951056068692,10.961533345291434,False,False,False
Latin City,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.303304908059076,16.199952097428152,10.896647189820564,False,False,False
Mazarine Apartment,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.976733742420574,16.022245325301487,11.045511583431209,False,False,False
Latin City,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.288267030694535,16.406652340820763,11.118385310141214,False,False,False
Mazarine Apartment,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.442417710521793,16.355063208865598,10.912645498967128,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.160605820672551,15.691917501252616,10.531311680294,False,False,False
Beachfront Tower - B1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.765191102784844,17.995375107829798,12.230184004835335,True,False,True
Marina 8 By The Lake,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.667769327744611,15.189732337849897,10.521963009371984,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.3518107389880365,16.243758668953976,10.891947929936396,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,14.807650602121868,10.276557618440732,False,False,False
Blu Vert,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.6240175061873385,17.24914286076959,11.625125354498351,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.67274560915124,11.14165262692506,False,False,False
Blu Vert,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.087596335232384,15.839835717085444,10.752239381826644,False,False,False
Beachfront Tower - B1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.986452005284438,17.80039361435915,11.813941609238348,False,False,True
Blu Vert,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.087596335232384,16.014067580534274,10.926471244769266,False,False,False
Latin City,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.267858159063328,15.631149300982273,10.363291140909991,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.436033739911871,16.658557743852615,11.222524003663311,False,False,False
New Garden City,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,5.493061443340548,17.15227607946704,11.659214635955845,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.196038324189828,10.664945341894756,False,False,False
Al Fustat,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.072983919160791,15.26501443248205,10.192030514316327,False,False,False
Latin City,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.278114659230517,15.73888291399422,10.46076825341946,False,False,False
Mazarine Apartment,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.525452939131784,16.492207681408463,10.96675474294394,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.423803986589452,15.51314248113429,10.0893384945496,False,False,False
Blu Vert,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.41164605185504,17.006974075222136,11.59532802323554,False,False,False
Central,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.173434184401347,16.596873176755416,11.423438991819284,False,False,False
Central,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.116435712982468,17.26622799608982,12.149792283207788,True,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.201090350786933,17.481377237769138,12.28028688710853,True,False,True
Mazarine Apartment,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.529429087511423,15.87907675048582,10.349647661501194,False,False,False
New Garden City,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.786897381366708,16.391932316588047,10.605034934901948,False,False,False
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.897839799950911,15.688081669928742,10.79024186957814,False,False,False
Latin City,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.351858133476067,15.81252112566495,10.460662990953644,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,14.68387075608088,10.15277777293434,False,False,True
Al Fustat,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.072983919160791,15.24582180450094,10.172837884432251,False,False,False
Mazarine Apartment,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.581501839947369,16.67071559638129,11.089213756547744,False,False,False
Downtown Extension,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.525452939131784,16.315798309790576,10.790345370724442,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.169801944312609,15.375968288176656,10.206166343706936,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.941642422609304,16.048209523494155,11.10656710152828,False,False,False
Mazarine Apartment,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.525452939131784,16.42396139384373,10.89850845415958,False,False,False
Latin City,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,15.768396320756011,10.435677527589949,False,False,False
Al Fustat,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.033895987670808,15.206792460595205,10.172896471974395,False,False,False
PODIA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.6635616461296463,16.195241860134974,12.531680214097902,True,True,False
PODIA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.22683374526818,16.58415400784177,12.357320262545356,True,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6.606650186198215,17.072568094872526,10.465917907288256,False,True,False
New Garden City,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.948759890378168,15.6645950938116,10.715835203716717,False,False,False
Latin City,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,15.873473067966986,10.54075427585104,False,False,False
Latin City,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.476463551931511,15.869249602291736,10.392786051514516,False,False,False
Zahya,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6.606650186198215,17.08853360090292,10.48188341432579,False,True,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.443023587547295,17.61302017660366,12.169996588917588,True,False,True
BEGONIA,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.966335035199676,15.944337324824852,10.978002290112984,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.329864482046166,16.174475984394427,10.84461150174949,False,False,False
Latin City,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.351858133476067,15.81252112566495,10.460662990953644,False,False,False
Latin City,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.337538079701318,15.798165830956416,10.460627750153476,False,False,False
Latin City,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.962844630259907,15.87818735331138,10.915342722797243,False,False,False
PODIA,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.30406509320417,16.0853658263354,11.781300733255224,False,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.173434184401347,17.37499291859214,12.201558734143678,True,False,False
Downtown Extension,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.272999558563747,15.87538694414927,10.602387384820704,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.641993463250715,11.110900480844387,False,False,False
Mazarine Apartment,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.529429087511423,16.345948098000264,10.816519010743638,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.378485595988034,10.847392612921505,False,False,False
Al Fustat,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.072983919160791,15.24078521872505,10.16780130014132,False,False,False
New Garden City,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.209486152841421,15.892072958893266,10.682586805262074,False,False,False
Latin City,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.529429087511423,15.92232404643996,10.392894958101488,False,False,False
Mazarine Apartment,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.544786743165743,17.071643631188184,11.526856888470242,False,False,False
Jade Park,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.627621113690637,16.112278765636756,10.484657651161568,False,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.443023587547295,17.622928318001744,12.179904730666376,True,False,True
Beachfront Tower - B1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.736572297479192,17.645303465123447,11.908731167535686,False,False,True
Latin City,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5.298317366548036,16.222635830232242,10.924318463684209,False,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.141488102515018,17.37635775715597,12.234869654768474,True,False,False
Latin City,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,16.18144596645908,10.848727172536682,False,False,False
New Garden City,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.170483995038151,15.79194991205441,10.62146591657286,False,False,False
Beachfront Tower - B1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.762051382780177,17.64853364515827,11.88648226254259,False,False,True
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.357764825191457,15.841551322916995,10.48378649875402,False,False,False
Latin City,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.303304908059076,16.161825413819646,10.858520506181742,False,False,False
Mazarine Apartment,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.480638923341991,16.318420832191848,10.837781908195089,False,False,False
Beachfront Tower - B1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.736572297479192,17.459941658592474,11.723369360747377,False,False,True
BEGONIA,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.997212273764115,15.98513552370209,10.987923249846595,False,False,False
Mazarine Apartment,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.517452896464707,16.35015929964709,10.832706402992086,False,False,False
Downtown commercial,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.41610040220442,17.038975835166283,11.622875432762775,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.442417710521793,16.326815681606806,10.8843979703789,False,False,False
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.897839799950911,15.874366666035002,10.97652686562473,False,False,False
Latin City,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.19295685089021,16.10814632010465,10.91518947002244,False,False,False
Downtown Extension,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.159055299214529,15.930681147098356,10.771625848149174,False,False,False
Beachfront Tower - B1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.986452005284438,17.995375107829798,12.008923102306673,False,False,True
Downtown Extension,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.152771227916698,15.916713591425625,10.763942363690676,False,False,False
New Garden City,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.170483995038151,15.811570490705058,10.641086495232123,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.895374075983382,15.221117230116535,10.32574315471138,False,False,False
Jade Park,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.402677381872279,15.887171912325147,10.48449453166224,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.351478914662269,15.431129329473457,10.079650416789322,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.373610350583468,16.218212442293094,10.844602092296617,False,False,False
PODIA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.610917912644224,16.17608150015697,12.565163587493876,True,True,False
Jade Park,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5.541263545158426,16.04573998876618,10.50447644436028,False,False,False
Downtown Extension,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.093750200806762,15.800229247329224,10.706479046989688,False,False,False
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.3230099791384085,16.20078101757693,10.877771039313128,False,False,False
PODIA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.881563797943437,16.510610599890857,12.62904680203859,True,True,False
New Garden City,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.659482215759621,16.294734424616777,10.635252209049916,False,False,False
Latin City,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,15.980670975046648,10.647952181941903,False,False,False
Mazarine Apartment,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.533033694214862,17.07825014647886,11.545216451782318,False,False,False
Latin City,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.836281906951478,15.626745803692986,10.79046389765684,False,False,False
Downtown Extension,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.093750200806762,15.848777262523496,10.755027062253454,False,False,False
Downtown Extension,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.159055299214529,15.92596615317328,10.76691085487974,False,False,False
Mazarine Apartment,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.525452939131784,16.40844915196526,10.882996212698837,False,False,False
Latin City,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.455321115357702,16.313744667963135,10.858423553181046,False,False,False
Downtown Extension,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.343959724426738,15.85828811527252,10.514328390959111,False,False,False
Latin City,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.476463551931511,15.869249602291736,10.392786051514516,False,False,False
Alamain (Latin District),1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.449449208551952,15.831879170668149,10.382429961585776,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,14.847983044127838,10.316890062624385,False,False,False
Central,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.173434184401347,16.78495018956334,11.61151600486899,False,False,False
Mazarine Apartment,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.976733742420574,16.01073313262982,11.033999390431914,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.402046552310513,15.481706804216984,10.079660252127937,False,False,False
Alamain (Latin District),1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.573782712746459,14.867031239098534,10.29324852703691,False,False,False
Jade Park,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6.525029657843462,16.961342459762303,10.43631280313232,False,True,False
Mazarine,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5.69035945432406,16.763626977576603,11.073267523630095,False,False,False
Latin City,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.836281906951478,15.626745803692986,10.79046389765684,False,False,False
Latin City,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.468060141135132,16.33731149893455,10.869251358200993,False,False,False
Central,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.380588358980831,17.53052061465546,12.14993225556333,True,False,True
Latin City,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.170483995038151,16.112882083905433,10.942398089349789,False,False,False
Jade Park,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5.808142489980444,16.469597236123054,10.661454746642187,False,False,False
Beachfront Tower - B1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.986452005284438,17.795752802369563,11.809300796808646,False,False,True
Alamain (Latin District),1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.531092982591776,15.62919458460812,11.0981016015086,False,False,False
Al Fustat,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.853435526076081,14.996624068144127,10.14318854179917,False,False,False
Latin City,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,15.964944471464143,10.632225679107869,False,False,False
New Garden City,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.948759890378168,15.616725185963084,10.667965295386798,False,False,False
Latin City,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,16.265998280881814,10.933279486978185,False,False,False
Latin City,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,15.925602538842869,10.592883744425844,False,False,False
Al Fustat,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.825830657008495,15.175717584320846,10.3498869272618,False,False,False
Mazarine Apartment,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.54907608489522,16.47828441419685,10.929208329887569,False,False,False
Mazarine Apartment,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.501258210544727,16.360178712091923,10.85892050217519,False,False,False
Latin City,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.332718793265369,15.766408248530626,10.433689453900652,False,False,False
